Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-02-22,23.030001,23.629999,22.02,22.290001,22.290001,0,112
2023-02-23,21.959999,22.43,20.889999,21.139999,21.139999,0,113
2023-02-24,21.35,22.9,21.32,21.67,21.67,0,114
2023-02-27,21.99,22.02,20.68,20.950001,20.950001,0,115
2023-02-28,21.299999,21.370001,20.1,20.700001,20.700001,0,116
2023-03-01,20.389999,21.32,20.219999,20.58,20.58,0,117
2023-03-02,21.41,21.42,19.549999,19.59,19.59,0,118
2023-03-03,19.76,19.76,18.16,18.49,18.49,0,119
2023-03-06,19.049999,19.190001,18.49,18.610001,18.610001,0,120
2023-03-07,18.639999,19.74,18.51,19.59,19.59,0,121
2023-03-08,19.709999,20.01,19,19.110001,19.110001,0,122
2023-03-09,19.33,23.139999,18.879999,22.610001,22.610001,0,123
2023-03-10,23.34,28.969999,21.790001,24.799999,24.799999,0,124
2023-03-13,24.049999,30.809999,23.85,26.52,26.52,0,125
2023-03-14,26.85,27.24,22.27,23.73,23.73,0,126
2023-03-15,23.209999,29.91,23.190001,26.139999,26.139999,0,127
2023-03-16,26.190001,27.49,22.969999,22.99,22.99,0,128
2023-03-17,22.92,26.139999,22.58,25.51,25.51,0,129
2023-03-20,27.77,28.91,24,24.15,24.15,0,130
2023-03-21,24.16,24.16,21.290001,21.379999,21.379999,0,131
2023-03-22,21.799999,22.379999,19.940001,22.26,22.26,0,132
2023-03-23,21.540001,24.91,20.16,22.610001,22.610001,0,133
2023-03-24,22.110001,25.209999,21.6,21.74,21.74,0,134
2023-03-27,22.049999,22.93,20.57,20.6,20.6,0,135
2023-03-28,20.530001,21.4,19.91,19.969999,19.969999,0,136
2023-03-29,19.389999,19.450001,19.09,19.120001,19.120001,0,137
2023-03-30,19.120001,20.08,18.85,19.02,19.02,0,138
2023-03-31,19.209999,19.43,18.52,18.700001,18.700001,0,139
2023-04-03,19.790001,19.83,18.540001,18.549999,18.549999,0,140
2023-04-04,18.790001,20.030001,18.58,19,19,0,141
2023-04-05,19.42,20.08,19,19.08,19.08,0,142
2023-04-06,19.299999,19.879999,18.35,18.4,18.4,0,143
2023-04-07,null,null,null,null,null,null,144
2023-04-10,19.389999,20.049999,18.93,18.969999,18.969999,0,145
2023-04-11,19.08,19.280001,18.559999,19.1,19.1,0,146
2023-04-12,19.379999,19.98,18.25,19.09,19.09,0,147
2023-04-13,18.83,19.059999,17.77,17.799999,17.799999,0,148
2023-04-14,17.940001,18.120001,17.07,17.07,17.07,0,149
2023-04-17,17.58,17.790001,16.9,16.950001,16.950001,0,150
2023-04-18,16.940001,17.34,16.58,16.83,16.83,0,151
2023-04-19,17.299999,17.719999,16.17,16.459999,16.459999,0,152
2023-04-20,16.85,17.690001,16.33,17.17,17.17,0,153
2023-04-21,17.51,17.709999,16.58,16.77,16.77,0,154
2023-04-24,18.219999,18.24,16.74,16.889999,16.889999,0,155
2023-04-25,17.620001,19.860001,17.33,18.76,18.76,0,156
2023-04-26,18.66,19.610001,17.870001,18.84,18.84,0,157
2023-04-27,18.43,18.43,16.719999,17.030001,17.030001,0,158
2023-04-28,17.209999,17.65,15.72,15.78,15.78,0,159
2023-05-01,16.41,16.620001,15.53,16.08,16.08,0,160
2023-05-02,16.27,19.809999,16.26,17.780001,17.780001,0,161
