Date,Open,High,Low,Close,Adj_Close,Volume,Day
2016-11-11,4.782083,5.017083,4.770833,5.016667,4.870865,105600,792
2016-11-14,4.944167,4.9775,4.910833,4.932917,4.789548,48000,793
2016-11-15,5,5.135833,5,5.111667,4.963104,208800,794
2016-11-16,5.010417,5.15375,5.010417,5.10875,4.960271,50400,795
2016-11-17,5.208333,5.27125,5.208333,5.220833,5.069097,64800,796
2016-11-18,5.222083,5.295,5.222083,5.294167,5.140299,84000,797
2016-11-21,5.354167,5.37,5.285417,5.320417,5.165787,100800,798
2016-11-22,5.40625,5.521667,5.40625,5.521667,5.361187,136800,799
2016-11-23,5.575,5.575,5.497917,5.511667,5.351478,120000,800
2016-11-25,5.50875,5.56375,5.49,5.56375,5.402047,52800,801
2016-11-28,5.515,5.562083,5.49625,5.520417,5.359974,184800,802
2016-11-29,5.479167,5.559167,5.473333,5.473333,5.314259,182400,803
2016-11-30,5.5575,5.5575,5.424583,5.4275,5.269756,192000,804
2016-12-01,5.208333,5.208333,4.830417,4.92625,4.783075,283200,805
2016-12-02,4.895833,5.040417,4.88375,5.040417,4.893925,69600,806
2016-12-05,5.083333,5.18375,5.083333,5.160833,5.01084,36000,807
2016-12-06,5.135,5.234167,5.135,5.228333,5.07638,100800,808
2016-12-07,5.229167,5.46625,5.229167,5.46625,5.307382,55200,809
2016-12-08,5.550417,5.619583,5.497917,5.562083,5.400429,91200,810
2016-12-09,5.78875,5.78875,5.512083,5.52625,5.365636,213600,811
2016-12-12,5.485,5.510833,5.440417,5.47375,5.314663,60000,812
2016-12-13,5.625,5.705833,5.625,5.664167,5.499546,64800,813
2016-12-14,5.643333,5.68625,5.604167,5.604167,5.441291,134400,814
2016-12-15,5.740417,5.811667,5.67,5.79875,5.630218,96000,815
2016-12-16,5.81375,5.82,5.5925,5.645833,5.481745,259200,816
2016-12-19,5.697917,5.795417,5.697917,5.795417,5.626981,50400,817
2016-12-20,5.829583,5.885833,5.829583,5.8675,5.69697,86400,818
2016-12-21,5.830417,5.886667,5.820833,5.820833,5.663724,40800,819
2016-12-22,5.914583,5.91875,5.854167,5.854167,5.696159,67200,820
2016-12-23,5.854167,5.89375,5.854167,5.89375,5.734674,72000,821
2016-12-27,5.941667,6.072917,5.941667,6.039583,5.876572,218400,822
2016-12-28,6,6,5.872083,5.874583,5.716024,88800,823
2016-12-29,5.86375,5.86375,5.687917,5.7975,5.641022,115200,824
2016-12-30,5.885417,5.885417,5.63875,5.63875,5.486556,62400,825
2017-01-03,5.70875,5.781667,5.583333,5.6175,5.465879,96000,826
2017-01-04,5.714583,5.714583,5.655417,5.655417,5.502773,112800,827
2017-01-05,5.627083,5.697083,5.56625,5.608333,5.45696,72000,828
2017-01-06,5.657083,5.687083,5.654167,5.674583,5.521421,64800,829
2017-01-09,5.719583,5.824583,5.719583,5.760417,5.604939,72000,830
2017-01-10,5.847917,5.847917,5.800833,5.812083,5.65521,55200,831
2017-01-11,5.857083,5.857083,5.809167,5.834167,5.676699,38400,832
2017-01-12,5.933333,5.933333,5.6225,5.761667,5.606156,67200,833
2017-01-13,5.840833,5.87,5.815833,5.85,5.692104,62400,834
2017-01-17,5.770833,5.794167,5.641667,5.656667,5.503991,45600,835
2017-01-18,5.7325,5.829167,5.668333,5.775833,5.619939,52800,836
2017-01-19,5.820833,5.8875,5.720833,5.755833,5.60048,63600,837
2017-01-20,5.800833,5.93,5.800833,5.849167,5.691294,66000,838
2017-01-23,5.895,5.895,5.585,5.680833,5.527503,103200,839
2017-01-24,5.735,5.89,5.735,5.89,5.731025,25200,840
2017-01-25,5.960833,6.076667,5.960833,6.076667,5.912654,136800,841
2017-01-26,6.135,6.135,5.973333,6.004167,5.84211,55200,842
2017-01-27,5.975,6.155,5.975,6.1325,5.966979,78000,843
2017-01-30,6.1475,6.1475,5.969167,6.025833,5.863193,93600,844
2017-01-31,5.916667,5.916667,5.785,5.854167,5.696159,76800,845
2017-02-01,5.9575,5.99,5.93,5.988333,5.826705,27600,846
2017-02-02,5.953333,5.9825,5.95,5.971667,5.810487,14400,847
2017-02-03,6.041667,6.043333,5.999167,6.0225,5.859948,110400,848
2017-02-06,6.046667,6.046667,6.015833,6.030833,5.868055,26400,849
2017-02-07,6.083333,6.121667,6.044167,6.088333,5.924005,57600,850
2017-02-08,6.088333,6.153333,6.0825,6.083333,5.919139,38400,851
2017-02-09,6.083333,6.083333,6,6.006667,5.844543,28800,852
2017-02-10,6.056667,6.056667,5.834167,5.95,5.789405,70800,853
2017-02-13,6.031667,6.031667,5.973333,5.996667,5.834813,28800,854
2017-02-14,6,6,5.913333,5.985833,5.824271,54000,855
2017-02-15,5.950833,6.050833,5.950833,6.050833,5.887517,13200,856
2017-02-16,6.091667,6.1,6.0375,6.1,5.935358,66000,857
2017-02-17,6.083333,6.151667,6.083333,6.151667,5.985629,16800,858
2017-02-21,6.2475,6.324167,6.2475,6.324167,6.153473,93600,859
2017-02-22,6.346667,6.346667,6.25,6.291667,6.12185,64800,860
2017-02-23,6.268333,6.268333,6.079167,6.135,5.969412,72000,861
2017-02-24,5.983333,6.161667,5.925833,6.139167,5.973467,54000,862
2017-02-27,6.166667,6.236667,6.166667,6.2,6.032657,19200,863
2017-02-28,6.1875,6.191667,6.083333,6.085833,5.921572,49200,864
2017-03-01,6.180833,6.265833,6.125,6.265833,6.096714,56400,865
2017-03-02,6.3125,6.3125,6.17,6.17,6.003467,34800,866
2017-03-03,6.1525,6.196667,6.118333,6.184167,6.017251,37200,867
2017-03-06,6.194167,6.194167,6.059167,6.121667,5.956439,27600,868
2017-03-07,6.205,6.250833,6.19,6.233333,6.065091,22800,869
2017-03-08,6.271667,6.3125,6.236667,6.236667,6.068335,19200,870
2017-03-09,6.225,6.269167,6.225,6.255,6.086174,57600,871
2017-03-10,6.333333,6.436667,6.333333,6.4125,6.239422,116400,872
2017-03-13,6.4125,6.44,6.393333,6.4075,6.234556,36000,873
2017-03-14,6.404167,6.406667,6.2825,6.3675,6.195637,81600,874
2017-03-15,6.508333,6.508333,6.310833,6.373333,6.201313,30000,875
2017-03-16,6.460833,6.5,6.41,6.410833,6.237799,24000,876
2017-03-17,6.471667,6.471667,6.431667,6.470833,6.29618,15600,877
2017-03-20,6.546667,6.595833,6.534167,6.534167,6.357805,54000,878
2017-03-21,6.62,6.62,6.294167,6.294167,6.124283,70800,879
2017-03-22,6.279167,6.378333,6.225833,6.378333,6.215394,55200,880
2017-03-23,6.370833,6.390833,6.356667,6.356667,6.194281,12000,881
2017-03-24,6.479167,6.574167,6.044167,6.425833,6.26168,36000,882
2017-03-27,6.415,6.45,6.265,6.446667,6.281982,30000,883
2017-03-28,6.4875,6.528333,6.465,6.494167,6.328269,27600,884
2017-03-29,6.521667,6.521667,6.4175,6.470833,6.30553,15600,885
2017-03-30,6.543333,6.563333,6.533333,6.5375,6.370495,37200,886
2017-03-31,6.5525,6.585833,6.54,6.575833,6.407847,325200,887
2017-04-03,6.546667,6.58,6.418333,6.459167,6.294163,70800,888
