Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,18.150000,18.422501,18.027500,18.170000,18.114737,139200
2020-09-16,18.355000,18.372499,17.767500,17.767500,17.713459,114000
2020-09-17,16.822500,17.809999,16.772499,17.709999,17.656134,228000
2020-09-18,17.957500,17.957500,16.725000,17.207500,17.155163,242000
2020-09-21,16.450001,17.287500,16.350000,17.287500,17.234921,230400
2020-09-22,17.535000,17.735001,16.889999,17.707500,17.653641,93600
2020-09-23,17.690001,17.857500,16.674999,16.802500,16.754234,711600
2020-09-24,16.570000,17.559999,16.570000,17.120001,17.070822,153200
2020-09-25,17.139999,17.887501,16.770000,17.805000,17.753853,148400
2020-09-28,18.360001,18.722500,17.969999,18.715000,18.661240,201200
2020-09-29,18.719999,19.174999,18.690001,18.879999,18.825764,135200
2020-09-30,18.795000,19.447500,18.795000,19.035000,18.980320,116000
2020-10-01,19.645000,19.860001,19.375000,19.770000,19.713209,182000
2020-10-02,18.787500,19.415001,18.537500,18.537500,18.484249,229200
2020-10-05,18.950001,19.770000,18.950001,19.762501,19.705732,107600
2020-10-06,19.825001,20.594999,19.530001,19.682501,19.625961,176400
2020-10-07,20.379999,20.512501,20.205000,20.445000,20.386271,115200
2020-10-08,20.760000,20.860001,20.555000,20.754999,20.695379,118000
2020-10-09,21.152500,21.250000,20.915001,21.135000,21.074287,153200
2020-10-12,21.625000,22.072500,21.492500,21.857500,21.794712,219600
2020-10-13,21.995001,22.207500,21.647499,21.945000,21.881962,166800
2020-10-14,22.132500,22.160000,21.447500,21.657499,21.595285,94000
2020-10-15,21.030001,21.639999,20.850000,21.532499,21.470644,185200
2020-10-16,21.812500,21.815001,21.357500,21.375000,21.313599,77600
2020-10-19,21.677500,21.875000,20.895000,21.075001,21.014462,145200
2020-10-20,21.270000,21.387501,20.950001,21.112499,21.051851,103600
2020-10-21,21.102501,21.147499,20.637501,20.637501,20.578218,89200
2020-10-22,20.672501,20.815001,20.129999,20.637501,20.578218,78800
